Document Type,Field Name,Mandatory,Notes
ALL TYPES,Document Name,YES,Per-file — red * shown in UI
ALL TYPES,Department,AUTO,Read-only — auto-filled from logged-in user
ALL TYPES,Description,NO,Per-file — auto-filled by AI; editable
ALL TYPES,Last Updated On,NO,Universal — shown at bottom of form for all types
ALL TYPES,Relationships,NO,Link to related documents (drawer)
,,,
Act,Act Number,YES,
Act,Year,YES,
Act,Short Title,YES,
Act,Issue Date,YES,
Act,Effective From,NO,
Act,Gazette Reference,NO,
Act,Notification No.,NO,
Act,Act ID / Code,NO,
Act,S.O. Reason,NO,
Act,Long Title,NO,
Act,Regional Title (Hindi),NO,
Act,No. of Rules,NO,Count field
Act,No. of Notifications,NO,Count field
Act,No. of Regulations,NO,Count field
Act,No. of Circulars,NO,Count field
Act,No. of Statutes,NO,Count field
Act,No. of Ordinances,NO,Count field
Act,No. of Orders,NO,Count field
Act,Keywords,NO,
,,,
Amendment,Amendment Number,YES,
Amendment,Issue Date,YES,
Amendment,Parent Act (Legal Authority),NO,
Amendment,Effective From,NO,
Amendment,Gazette Reference,NO,
,,,
Circular,Circular Number,YES,
Circular,Issue Date,YES,
Circular,Legal Authority (Linked Act),NO,
Circular,Valid Until,NO,
,,,
Notification,Notification Number,YES,
Notification,Issue Date,YES,
Notification,Legal Authority (Linked Act),NO,
Notification,Effective From,NO,
Notification,Gazette Reference,NO,
,,,
Order/Gazette,Order/Gazette Number,YES,
Order/Gazette,Issue Date,YES,
Order/Gazette,Legal Authority (Linked Act),NO,
Order/Gazette,Effective From,NO,
Order/Gazette,Gazette Reference,NO,
,,,
Policy,Policy Number,YES,
Policy,Issue Date,YES,
Policy,Legal Authority (Linked Act),NO,
Policy,Effective From,NO,
Policy,Sector / Domain,NO,
Policy,Implementing Agency,NO,
Policy,Review Date,NO,
,,,
Rules & Regulations,Rules Number,YES,
Rules & Regulations,Issue Date,YES,
Rules & Regulations,Parent Act (Legal Authority),NO,
Rules & Regulations,Effective From,NO,
Rules & Regulations,Gazette Reference,NO,
Rules & Regulations,Rule-Making Authority,NO,
,,,
Bye Laws,Bye Law Number,YES,
Bye Laws,Issue Date,YES,
Bye Laws,Parent Act (Legal Authority),NO,
Bye Laws,Effective From,NO,
Bye Laws,Gazette Reference,NO,
Bye Laws,Bye Law Authority,NO,
,,,
Miscellaneous,Issue Date,YES,
Miscellaneous,Legal Authority (Linked Act),NO,
Miscellaneous,Reference Number,NO,
Miscellaneous,Valid Until,NO,
